Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
AT,*,*,*,20.0000,Austria VAT,1,0,0,
BE,*,*,*,21.0000,Belgium VAT,1,0,0,
BG,*,*,*,20.0000,Bulgaria VAT,1,0,0,
CY,*,*,*,19.0000,Cyprus VAT,1,0,0,
CZ,*,*,*,21.0000,Czech Republic VAT,1,0,0,
DE,*,*,*,19.0000,Germany VAT,1,0,0,
DK,*,*,*,25.0000,Denmark VAT,1,0,0,
EE,*,*,*,20.0000,Estonia VAT,1,0,0,
EL,*,*,*,24.0000,Greece VAT,1,0,0,
ES,*,*,*,21.0000,Spain VAT,1,0,0,
FI,*,*,*,24.0000,Finland VAT,1,0,0,
FR,*,*,*,20.0000,France VAT,1,0,0,
HR,*,*,*,25.0000,Croatia VAT,1,0,0,
HU,*,*,*,27.0000,Hungary VAT,1,0,0,
IE,*,*,*,23.0000,Ireland VAT,1,0,0,
IL,*,*,*,17.0000,Israel VAT,1,0,0,
IT,*,*,*,22.0000,Italy VAT,1,0,0,
LT,*,*,*,21.0000,Lithuania VAT,1,0,0,
LU,*,*,*,17.0000,Luxembourg VAT,1,0,0,
LV,*,*,*,21.0000,Latvia VAT,1,0,0,
MT,*,*,*,18.0000,Malta VAT,1,0,0,
NL,*,*,*,21.0000,Netherlands VAT,1,0,0,
PL,*,*,*,23.0000,Poland VAT,1,0,0,
PT,*,*,*,23.0000,Portugal VAT,1,0,0,
RO,*,*,*,19.0000,Romania VAT,1,0,0,
SE,*,*,*,25.0000,Sweden VAT,1,0,0,
SI,*,*,*,22.0000,Slovenia VAT,1,0,0,
SK,*,*,*,20.0000,Slovakia VAT,1,0,0,
UK,*,*,*,20.0000,United Kingdom VAT,1,0,0,
US,AL,*,*,4.0000,AL State Tax,1,0,0,
US,AK,*,*,0.0000,AK State Tax,1,0,0,
US,AZ,*,*,5.6000,AZ State Tax,1,0,0,
US,AR,*,*,6.5000,AR State Tax,1,0,0,
US,CA,*,*,7.5000,CA State Tax,1,0,0,
US,CO,*,*,2.9000,CO State Tax,1,0,0,
US,CT,*,*,6.3500,CT State Tax,1,0,0,
US,DE,*,*,0.0000,DE State Tax,1,0,0,
US,FL,*,*,6.0000,FL State Tax,1,0,0,
US,GA,*,*,4.0000,GA State Tax,1,0,0,
US,HI,*,*,4.0000,HI State Tax,1,0,0,
US,ID,*,*,6.0000,ID State Tax,1,0,0,
US,IL,*,*,6.2500,IL State Tax,1,0,0,
US,IN,*,*,7.0000,IN State Tax,1,0,0,
US,IA,*,*,6.0000,IA State Tax,1,0,0,
US,KS,*,*,6.1500,KS State Tax,1,0,0,
US,KY,*,*,6.0000,KY State Tax,1,0,0,
US,LA,*,*,4.0000,LA State Tax,1,0,0,
US,ME,*,*,5.5000,ME State Tax,1,0,0,
US,MD,*,*,6.0000,MD State Tax,1,0,0,
US,MA,*,*,6.2500,MA State Tax,1,0,0,
US,MI,*,*,6.0000,MI State Tax,1,0,0,
US,MN,*,*,6.8800,MN State Tax,1,0,0,
US,MS,*,*,7.0000,MS State Tax,1,0,0,
US,MO,*,*,4.2300,MO State Tax,1,0,0,
US,MT,*,*,0.0000,MT State Tax,1,0,0,
US,NE,*,*,5.5000,NE State Tax,1,0,0,
US,NV,*,*,6.8500,NV State Tax,1,0,0,
US,NH,*,*,0.0000,NH State Tax,1,0,0,
US,NJ,*,*,7.0000,NJ State Tax,1,0,0,
US,NM,*,*,5.1300,NM State Tax,1,0,0,
US,NY,*,*,4.0000,NY State Tax,1,0,0,
US,NC,*,*,4.7500,NC State Tax,1,0,0,
US,ND,*,*,5.0000,ND State Tax,1,0,0,
US,OH,*,*,5.7500,OH State Tax,1,0,0,
US,OK,*,*,4.5000,OK State Tax,1,0,0,
US,OR,*,*,0.0000,OR State Tax,1,0,0,
US,PA,*,*,6.0000,PA State Tax,1,0,0,
US,RI,*,*,7.0000,RI State Tax,1,0,0,
US,SC,*,*,6.0000,SC State Tax,1,0,0,
US,SD,*,*,4.0000,SD State Tax,1,0,0,
US,TN,*,*,7.0000,TN State Tax,1,0,0,
US,TX,*,*,6.2500,TX State Tax,1,0,0,
US,UT,*,*,5.9500,UT State Tax,1,0,0,
US,VT,*,*,6.0000,VT State Tax,1,0,0,
US,VA,*,*,5.3000,VA State Tax,1,0,0,
US,WA,*,*,6.5000,WA State Tax,1,0,0,
US,WV,*,*,6.0000,WV State Tax,1,0,0,
US,WI,*,*,5.0000,WI State Tax,1,0,0,
US,WY,*,*,4.0000,WY State Tax,1,0,0,
